Sample File,C:\Documents and Settings\Administrator\Desktop\Pier2009\SMPS\SMPS_080809_w_drier.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3010
Gas Viscosity (kg/(m*s)),1.8203e-005
Mean Free Path (m),6.65e-008
Channels/Decade,64
Multiple Charge Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Date,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09,08/08/09
Start Time,15:51:39,15:56:39,16:01:39,16:06:39,16:11:39,16:16:39,16:21:39,16:26:39,16:31:39,16:36:39,16:41:39,16:46:39,16:51:39,16:56:39,17:01:39
Diameter Midpoint
 59.4,1043.13,1047.41,1151.36,929.439,910.392,1213.92,956.388,913.653,959.649,1343.92,1199.05,918.334,940.943,773.581,993.022
 61.5,977.946,1286.53,1247.16,1085.71,1138.13,1124.7,1010.56,1021.03,968.877,1044.17,1050.81,901.235,928.217,1050.56,909.04
 63.8,1177.81,994.089,1323.5,1565.4,1153.71,1047.04,937.827,1163.74,1077.86,972.813,1167.77,863.738,1093.2,1091.5,719.675
 66.1,1472.92,1301.01,1171.45,1340.7,1274.15,872.694,1207.24,1027.51,1147.19,1055.73,1326.68,1123.47,1246.52,1360.64,1203.63
 68.5,1700.58,1377.87,1488.82,1307.88,1354.13,1188.78,1099.68,1211.19,1135.67,1286.37,1041.3,988.982,1084.12,1206.99,1161.75
 71.0,1802.84,1287.94,1447.52,1226.49,1267.62,1246.58,1433.23,1338.42,1276.64,1208.68,1241.37,1273.42,1249.47,1195.68,1149.79
 73.7,1540.56,1438.98,1787.23,1547.29,1372.05,1267.29,1469.43,1422.34,1566.84,1358.59,1404.42,1363.72,1318.23,1344.51,1418.18
 76.4,1792.28,1400.57,1509.4,1405.43,1430.21,1400.36,1251.61,1323.32,1238.57,1434.28,1266.48,1373.72,1587.85,1321.1,1259.55
 79.1,1465.44,1405.03,1505.56,1548.19,1214.55,1438.99,1561.99,1471.17,1518.64,1323.91,1614.03,1204.12,1359.91,1563.92,1560.68
 82.0,1772.44,1588.04,1798.57,1356.18,1324.95,1551.02,1489.8,1531.38,1491.74,1513.15,1445.52,1330.75,1426.5,1143.18,1334.07
 85.1,1418.76,1463.83,1468.44,1533.21,1210.1,1135.77,1387.85,1450.37,1469.57,1450.2,1239.2,1328.37,1384.89,1291.38,1403.49
 88.2,1120.14,1325.28,1521.43,1572.71,1270.54,1229.09,1231.59,1473.7,1571.22,1402.39,1490.12,1284.84,1377.29,1314.29,1239.52
 91.4,1461.73,1183.06,1409.06,1285.63,1471.22,1275.78,1132.37,1082.03,1125.36,1456.11,1351.8,1394.61,1184.45,1341.59,1149.15
 94.7,1012.69,1340.3,1153.63,1058.94,1164.23,1236.95,1340.39,1472.46,1112.08,1116.82,1305.73,1192.8,1245.37,1116.7,1076.4
 98.2,1102.05,1205.87,1069.85,1263.5,1139.27,1325.97,1155.56,1010.64,1194.65,1195.71,1116.15,1165.46,1137.37,1116.15,1193.53
101.8,1159.35,934.271,966.061,906.59,1202.93,985.494,1179.45,1264.6,1146.14,1315.82,1030.56,1169.03,1252.12,1246.66,1124.03
105.5,1237.52,1027.68,1108.75,1329.44,1132.78,1098.94,1193.43,1013.06,1447.9,1030.06,1100.8,1361.75,1229.51,1216.83,1077.13
109.4,1365.4,1187.06,1250.65,1152.07,1093.67,1195.7,1146.41,1148.61,1096.49,1161.03,1058.02,771.379,1061.19,1179.82,1334.59
113.4,1213.9,1222.64,1377.65,1312.08,1156.18,1306.76,1231.37,1392.71,1412.8,1335.35,1033.56,1080.79,1015.22,1227.74,1269.29
117.6,1121.45,1085.71,1124.97,1225.17,1124.97,1410.11,1303.05,1011.9,1334.83,1287.49,1241.38,1231.01,975.32,1123.5,1157.1
121.9,1459.92,1380.04,1312.94,1362.69,1152.03,1287.66,1195.02,1269.77,1218.18,1355.94,1334.76,1389.26,1293.87,1454.72,1338.4
126.3,1155.5,1183.14,1149.25,1397.21,1520.76,1307.61,1703.92,1325.13,1076.06,1281.13,1154.52,1299.64,1233.68,1482.9,1086.46
131.0,1139.52,1278.51,1396.79,1341.03,1190.56,1305.12,1679.28,1533.61,1327.51,1349.06,1306.88,1181.18,1361.58,1392.78,1435.88
135.8,1342.89,1071.06,1497.37,1450.76,1446.09,1481.31,1660.05,1538.59,1548.79,1490.82,1497.1,1555.6,1369.2,1264.98,1263.91
140.7,1689.52,1333.76,1345.51,1425.64,1432.54,1437.37,1513.7,1563.14,1365.16,1481.72,1607.9,1292.09,1433.73,1408.43,1384.78
